tag,x,y
path,10.1562,11.6667
path,11.5525,12.3648
path,13.1781,12.76
path,14.9381,12.866
path,16.7375,12.6967
path,18.4814,12.2656
path,20.075,11.5867
path,21.4232,10.6735
path,22.4313,9.54
path,23.0041,8.19979
path,23.0469,6.66667
path,22.3891,4.75666
path,21.0344,2.35333
path,19.1492,-0.428337
path,16.9,-3.47334
path,14.4531,-6.66668
path,11.975,-9.89334
path,9.63203,-13.0383
path,7.59061,-15.9867
path,6.01718,-18.6233
path,5.07812,-20.8333
path,4.70508,-22.6863
path,4.6875,-24.34
path,4.97852,-25.8121
path,5.53125,-27.12
path,6.29883,-28.2812
path,7.23437,-29.3133
path,8.29101,-30.2337
path,9.42188,-31.06
path,10.5801,-31.8096
path,11.7187,-32.5
path,12.9174,-33.1448
path,14.2687,-33.7333
path,15.7459,-34.2469
path,17.3219,-34.6666
path,18.9697,-34.974
path,20.6625,-35.15
path,22.3732,-35.176
path,24.075,-35.0333
path,25.7408,-34.7031
path,27.3437,-34.1667
path,28.9783,-33.4471
path,30.725,-32.5767
path,32.5357,-31.5504
path,34.3625,-30.3634
path,36.1572,-29.0104
path,37.8718,-27.4867
path,39.4584,-25.7871
path,40.8687,-23.9067
path,42.0549,-21.8405
path,42.9687,-19.5834
path,43.6029,-17.0365
path,44.0031,-14.1501
path,44.201,-10.9928
path,44.2281,-7.63343
path,44.1162,-4.14073
path,43.8969,-0.583435
path,43.6018,2.96968
path,43.2625,6.4499
path,42.9108,9.78843
path,42.5781,12.9166
path,42.3367,15.9722
path,42.1938,19.1032
path,42.0836,22.2559
path,41.9406,25.3766
path,41.6992,28.4113
path,41.2938,31.3066
path,40.6586,34.0084
path,39.7282,36.4632
path,38.4368,38.6172
path,36.7188,40.4166
path,34.5534,41.8499
path,31.997,42.9666
path,29.0999,43.8041
path,25.9127,44.4
path,22.4855,44.7917
path,18.8689,45.0167
path,15.1133,45.1125
path,11.2689,45.1167
path,7.38634,45.0667
path,3.51583,45
path,-0.623589,44.8761
path,-5.24039,44.6333
path,-10.1752,44.2781
path,-15.2685,43.8167
path,-20.3611,43.2552
path,-25.2936,42.6
path,-29.9065,41.8573
path,-34.0405,41.0334
path,-37.5362,40.1344
path,-40.2343,39.1667
path,-42.0918,38.1325
path,-43.25,37.0267
