tag,x,y
path,80.6511,67.2243
path,79.6457,69.4939
path,78.5323,71.9784
path,77.475,74.2619
path,76.3651,76.4771
path,75.1578,78.6191
path,73.8254,80.6844
path,72.3197,82.669
path,70.6481,84.554
path,68.818,86.3265
path,66.8526,87.963
path,64.7733,89.4409
path,62.5943,90.7458
path,60.3376,91.8477
path,58.0203,92.7722
path,55.6533,93.5464
path,53.2505,94.2361
path,50.8259,94.9048
path,48.389,95.5944
path,45.9553,96.38
path,43.5319,97.2612
path,41.1206,98.2101
path,38.7181,99.1321
path,36.3211,99.932
path,33.9276,100.547
path,31.5347,100.873
path,29.1381,100.867
path,26.734,100.546
path,24.3149,100.006
path,21.8731,99.3581
path,19.4035,98.6709
path,16.8984,98.0502
path,14.3489,97.6081
path,11.7548,97.3892
path,9.11931,97.4425
path,6.48066,97.6373
path,3.86151,97.9007
path,1.29745,98.1151
path,-1.17612,98.1642
path,-3.5359,97.9713
path,-5.741,97.4049
path,-7.78788,96.4361
path,-9.68524,95.0757
path,-11.4686,93.4016
path,-13.1727,91.4902
path,-14.8208,89.3912
path,-16.4474,87.1799
path,-18.0904,84.9336
path,-19.7538,82.6876
path,-21.424,80.4798
path,-23.0144,78.2915
path,-24.4744,76.1156
path,-25.7262,73.9406
path,-26.6922,71.7548
path,-27.3222,69.5508
path,-27.5267,67.3157
path,-27.3209,65.0498
path,-26.73,62.7557
path,-25.8319,60.442
path,-24.6997,58.1169
path,-23.3822,55.7857
path,-21.9523,53.4566
path,-20.4845,51.1381
path,-19.0212,48.8339
path,-17.6214,46.5476
path,-16.3063,44.2715
path,-15.0933,42.0015
path,-14.0068,39.7307
path,-13.0716,37.4525
path,-12.3042,35.1625
path,-11.733,32.854
path,-11.3682,30.5201
path,-11.199,28.1557
path,-11.1821,25.7528
path,-11.2666,23.303
path,-11.4196,20.8008
path,-11.5923,18.2381
path,-11.7355,15.6057
path,-11.8171,12.9006
path,-11.7871,10.1109
path,-11.6154,7.29802
path,-11.282,4.5045
path,-10.7612,1.80851
path,-10.0264,-0.714217
path,-9.06003,-3.01323
path,-7.83514,-5.01197
path,-6.32306,-6.62998
path,-4.52045,-7.84807
path,-2.43783,-8.67136
path,-0.136558,-9.21591
path,2.34749,-9.54813
path,4.95955,-9.76972
path,7.64501,-9.982
path,10.3675,-10.2525
path,13.0706,-10.6881
path,15.7046,-11.3748
path,18.2531,-12.3184
path,20.7147,-13.4545
path,23.1047,-14.6678
path,25.4309,-15.888
path,27.7053,-17.0096
path,29.9398,-17.9272
path,32.1424,-18.5709
path,34.3251,-18.8215
path,36.4996,-18.6411
path,38.6735,-18.0419
path,40.8583,-17.1095
path,43.0652,-15.9339
path,45.3019,-14.5735
path,47.5796,-13.1157
path,49.9101,-11.6487
path,52.2999,-10.2281
path,54.7647,-8.95173
path,57.2665,-7.79658
path,59.7758,-6.73863
path,62.2338,-5.70935
path,64.5838,-4.64503
path,66.7883,-3.50333
path,68.7906,-2.22071
path,70.5306,-0.730337
path,71.9819,1.00009
path,73.1036,3.02069
path,73.9987,5.25633
path,74.7283,7.66346
path,75.3959,10.1664
path,76.1032,12.6914
path,76.9174,15.1895
path,77.9547,17.5783
path,79.2421,19.8266
path,80.7589,21.9357
path,82.4025,23.9481
path,84.0674,25.9081
path,85.6845,27.8443
path,87.1501,29.8001
path,88.3571,31.8199
path,89.2605,33.9226
path,89.8184,36.1263
path,90.0755,38.4136
path,90.0532,40.7764
path,89.785,43.2021
path,89.3042,45.678
path,88.6332,48.1956
path,87.8051,50.7422
path,86.8534,53.3053
path,85.8002,55.8764
path,84.6789,58.4428
path,83.5228,60.9918
path,82.3542,63.5152
path,81.091,66.2656
path,80.584,67.3662
big_orange,76.0761,65.2069
big_orange,75.0787,67.4586
yellow,73.9817,69.9067
yellow,72.9705,72.0918
yellow,71.9505,74.1294
yellow,70.8773,76.0352
yellow,69.7307,77.8149
yellow,68.4554,79.4961
yellow,67.0365,81.0963
yellow,65.477,82.6065
yellow,63.802,84.0014
yellow,62.0381,85.2554
yellow,60.2098,86.351
yellow,58.3123,87.2763
yellow,56.3158,88.0717
yellow,54.1863,88.7665
yellow,51.8961,89.423
yellow,49.4804,90.0893
yellow,46.9396,90.8091
yellow,44.3324,91.6508
yellow,41.7619,92.585
yellow,39.3093,93.5497
yellow,37.0296,94.4258
yellow,34.9045,95.1368
yellow,32.9633,95.6412
yellow,31.2019,95.8837
yellow,29.4779,95.8783
yellow,27.6121,95.6233
yellow,25.5015,95.1492
yellow,23.185,94.5333
yellow,20.6749,93.8353
yellow,17.9273,93.1572
yellow,14.9862,92.6489
yellow,11.9131,92.3917
yellow,8.88432,92.448
yellow,6.04654,92.6562
yellow,3.40255,92.9218
yellow,1.03628,93.1219
yellow,-1.02739,93.1664
yellow,-2.71551,93.039
yellow,-4.04305,92.702
yellow,-5.24548,92.1307
yellow,-6.50464,91.2178
yellow,-7.88434,89.9155
yellow,-9.33643,88.2835
yellow,-10.8394,86.3664
yellow,-12.4157,84.2226
yellow,-14.0635,81.9697
yellow,-15.7509,79.6915
yellow,-17.408,77.5012
yellow,-18.9162,75.427
yellow,-20.2311,73.4709
yellow,-21.2695,71.674
yellow,-21.9931,70.0463
yellow,-22.4083,68.6271
yellow,-22.5267,67.3172
yellow,-22.3955,65.9104
yellow,-21.9723,64.2932
yellow,-21.2514,62.4468
yellow,-20.2747,60.4448
yellow,-19.075,58.325
yellow,-17.7094,56.102
yellow,-16.2618,53.8156
yellow,-14.7787,51.4799
yellow,-13.3246,49.1044
yellow,-11.9366,46.7016
yellow,-10.6327,44.2604
yellow,-9.43772,41.7613
yellow,-8.38643,39.1987
yellow,-7.50347,36.5599
yellow,-6.83168,33.8423
yellow,-6.40015,31.0847
yellow,-6.20283,28.3507
yellow,-6.18263,25.6832
yellow,-6.2723,23.0635
yellow,-6.42991,20.4799
yellow,-6.60152,17.9347
yellow,-6.73988,15.3954
yellow,-6.81728,12.8536
yellow,-6.79038,10.2908
yellow,-6.63556,7.74669
yellow,-6.34147,5.27327
yellow,-5.89991,2.97811
yellow,-5.31127,0.94933
yellow,-4.60562,-0.742073
yellow,-3.8481,-1.99477
yellow,-3.07245,-2.83083
yellow,-2.19482,-3.42184
yellow,-0.948559,-3.8983
yellow,0.764555,-4.29778
yellow,2.88768,-4.5774
yellow,5.36768,-4.7864
yellow,8.08963,-5.00181
yellow,11.0128,-5.29434
yellow,14.0995,-5.79515
yellow,17.2049,-6.60525
yellow,20.17,-7.70041
yellow,22.894,-8.95447
yellow,25.3974,-10.2245
yellow,27.699,-11.432
yellow,29.7657,-12.4539
yellow,31.5994,-13.2107
yellow,33.1414,-13.6717
yellow,34.4057,-13.8221
yellow,35.6172,-13.7196
yellow,37.0158,-13.3246
yellow,38.6947,-12.6018
yellow,40.5869,-11.5913
yellow,42.6541,-10.3322
yellow,44.9003,-8.89419
yellow,47.3009,-7.38352
yellow,49.8716,-5.85734
yellow,52.5662,-4.46102
yellow,55.2466,-3.22277
yellow,57.8389,-2.12905
yellow,60.2376,-1.1251
yellow,62.4042,-0.145096
yellow,64.2917,0.828804
yellow,65.8139,1.7966
yellow,66.9788,2.78888
yellow,67.8588,3.82844
yellow,68.5852,5.16172
yellow,69.2793,6.90778
yellow,69.9192,9.03194
yellow,70.573,11.4853
yellow,71.3179,14.1409
yellow,72.2417,16.961
yellow,73.485,19.8191
yellow,75.0375,22.5324
yellow,76.7911,24.9783
yellow,78.5606,27.148
yellow,80.2433,29.1293
yellow,81.765,30.9488
yellow,83.0005,32.5896
yellow,83.9064,34.0983
yellow,84.5257,35.5293
yellow,84.8988,37.0191
yellow,85.0819,38.6657
yellow,85.0624,40.4736
yellow,84.8424,42.4469
yellow,84.4322,44.5541
yellow,83.8388,46.7763
yellow,83.0833,49.0976
yellow,82.1959,51.4865
yellow,81.1957,53.9275
yellow,80.1111,56.4092
yellow,78.9775,58.9086
yellow,77.8137,61.4215
yellow,76.548,64.1773
yellow,76.0396,65.2807
big_orange,85.226,69.2417
big_orange,84.2127,71.5293
blue,83.0829,74.0501
blue,81.9796,76.4319
blue,80.7797,78.8247
